链家编号,标题,小区名称,小区纬度,小区经度,邻近地铁站,所属街道,所属区域,总价,地铁线路,每平方售价,建造时间,室数,厅数,厨数,卫数,所在楼层,楼层总数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯数,户数,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,url,别墅类型,抵押信息
107102567503,心上好房，一手动迁，低总价，诚意卖，房型好出入方便,新高苑(二期),31.297781,121.63712,暂无信息,高行,浦东,245,暂无信息,42750,2008,1,1,1,1,低楼层,17,57.31,平层,暂无数据,板楼,南,钢混结构,简装,两,四,有,2020-05-22,动迁安置房,2009-01-22,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102567503.html,,
107102568627,交通便利，楼层好，户型正气，商场密集,白浪新村,31.158645,121.359481,七宝站,七宝,闵行,385,9,79464,1996,1,1,1,1,中楼层,6,48.45,平层,暂无数据,板楼,南,砖混结构,精装,一,两,无,2020-05-22,商品房,暂无数据,普通住宅,暂无数据,非共有,https://sh.lianjia.com/ershoufang/107102568627.html,,
107102358130,东一少见好楼层的双南两房，近期已经卖出2套同户型！,东一小区,31.276437,121.602715,暂无信息,金桥,浦东,315,暂无信息,44561,1995,2,1,1,1,低楼层,6,70.69,平层,暂无数据,板楼,南,砖混结构,简装,一,四,无,2020-04-08,商品房,2008-03-06,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102358130.html,,
107102545569,央座小户型  采光视野俱佳 满五唯一 小区静谧,永业小区,31.270664,121.621089,金桥站,金桥,浦东,220,9,45427,1994,1,1,1,1,高楼层,6,48.43,平层,暂无数据,板楼,南,砖混结构,精装,一,三,无,2020-05-17,商品房,暂无数据,普通住宅,暂无数据,共有,https://sh.lianjia.com/ershoufang/107102545569.html,,
107102442346,楼梯房顶楼复式+露台，实用面积多，12号线顾戴路站,新时代花园,31.146869,121.394778,顾戴路站,古美,闵行,720,12,49376,2002,3,2,1,2,高楼层,6,145.82,复式,暂无数据,板楼,南,钢混结构,精装,一,两,无,2020-04-25,商品房,2003-06-12,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102442346.html,,
107102410145,亲力亲为的精装，沿河位置+年轻人初次置业的好选择,静安新城五区,31.169413,121.389842,合川路站,静安新城,闵行,315,9,59671,1997,1,1,1,1,高楼层,7,52.79,平层,暂无数据,板楼,南,砖混结构,精装,一,两,无,2020-04-18,商品房,2016-02-04,普通住宅,未满两年,共有,https://sh.lianjia.com/ershoufang/107102410145.html,,
107102541050,此房满五唯一，两房朝南，户型方正，婚房装修 诚心,沙田公寓,31.201339,121.678452,华夏东路站,川沙,浦东,255,2,36099,1995,2,1,1,1,高楼层,6,70.64,平层,暂无数据,板楼,南,砖混结构,精装,一,两,无,2020-05-17,商品房,2015-02-13,普通住宅,未满两年,共有,https://sh.lianjia.com/ershoufang/107102541050.html,,
107102425551,精装修带地暖两房，税费少，户型正，采光佳,茂盛花苑,31.175869,121.343528,暂无信息,七宝,闵行,252,暂无信息,46529,1994,2,1,1,1,中楼层,6,54.16,平层,暂无数据,板楼,南,砖混结构,精装,一,两,无,2020-04-22,商品房,2017-09-08,普通住宅,未满两年,共有,https://sh.lianjia.com/ershoufang/107102425551.html,,
107102400364,总高5层电梯两房+中间层+通透+采光好+有钥匙,和润家园(公寓),0,0,暂无信息,古美,闵行,615,暂无信息,64425,2004,2,2,1,1,中楼层,5,95.46,平层,暂无数据,板楼,南 北,钢混结构,精装,一,两,有,2020-04-16,商品房,2008-08-24,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102400364.html,,
107101292448,城中花园，三房毛坯出售，高楼层 ，看房有钥匙,城中花园,31.137475,121.583477,暂无信息,康桥,浦东,520,暂无信息,36364,2006,3,2,1,2,中楼层,16,143,平层,暂无数据,板楼,南,钢混结构,毛坯,两,三,有,2019-05-06,商品房,2005-07-25,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107101292448.html,,
107102575092,9号线泗泾站步行泗泾站800米左右，到市区徐家汇9站,西南名苑,31.123101,121.274091,泗泾站,泗泾,松江,337,9,32991,2007,2,2,1,1,中楼层,11,102.15,平层,暂无数据,板楼,南,钢混结构,精装,一,两,有,2020-05-24,商品房,2009-11-01,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102575092.html,,
107102398196,电梯中楼层 南北通2房2厅 户型好采光佳 花园小区,三盛颐景园(公寓),31.129449,121.346695,暂无信息,九亭,松江,340,暂无信息,36399,2007,2,2,1,1,中楼层,9,93.41,平层,暂无数据,板楼,南,钢混结构,简装,一,三,有,2020-04-16,商品房,2010-02-28,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102398196.html,,
107100938912,近明中广场  两梯三户 南北通 户型方正,新弘国际城(公寓),31.274869,121.460016,暂无信息,莘闵别墅,松江,270,暂无信息,30564,2011,3,2,1,1,低楼层,18,88.34,平层,暂无数据,板楼,南,钢混结构,毛坯,两,三,有,2019-01-04,商品房,2012-01-05,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107100938912.html,,
107102311334,高层高视野 飞机户型大三房 采光好通风性强诚意出售,澜茵华庭,31.245876,121.324515,金运路站,江桥,嘉定,445,13,42867,2005,3,1,1,1,高楼层,11,103.81,平层,暂无数据,板楼,南,钢混结构,精装,一,两,有,2020-03-28,商品房,2013-04-18,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102311334.html,,
107102424142,使用面积大，满五年唯一，厨房餐厅不算产证面积,华阳小区,31.220732,121.430891,中山公园站,中山公园,长宁,226,2,64041,1986,2,1,1,1,高楼层,6,35.29,平层,35.29㎡,板楼,南 北,砖混结构,精装,一,四,无,2020-04-21,商品房,1994-08-03,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107102424142.html,,
107102532241,满五唯一诚意出售 配套齐全 一楼自带天井 交通便利,淞南五村,31.344885,121.491637,暂无信息,淞南,宝山,165,暂无信息,49834,1996,1,0,1,1,低楼层,6,33.11,平层,暂无数据,板楼,南,砖混结构,毛坯,一,四,无,2020-05-15,商品房,暂无数据,普通住宅,暂无数据,非共有,https://sh.lianjia.com/ershoufang/107102532241.html,,
107102581788,精装修两房，满五唯一税费少，中间楼层，楼层适中,绿地金卫新家园（东区）,30.749963,121.320412,暂无信息,张堰,金山,152,暂无信息,16394,2007,2,2,1,1,中楼层,7,92.72,暂无数据,暂无数据,板楼,南,钢混结构,精装,一,两,无,2020-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,https://sh.lianjia.com/ershoufang/107102581788.html,,
107102569871,13号线600米，3年婚房装修，3楼满五唯一，看房方便,绿川公寓,31.178911,121.557589,陈春路站,北蔡,浦东,405,13,48914,1998,2,1,1,1,中楼层,6,82.8,平层,暂无数据,板楼,南,砖混结构,精装,一,两,无,2020-05-23,商品房,1999-08-24,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107102569871.html,,
